Account,Trade Date,Acct Type,B/S,Symbol,Quantity,Price,Exec Time,Commission,Trade Fee 1,Trade Fee 2,Trade Fee 3,Exec Broker,Currency,Note
"PFS12253","04/10/2015",2,BUY,PGN,100,1.49,09:35:41,4.95,0,0,0.3,PDQM,USD,
"PFS12253","04/21/2015",2,SELL,PGN,100,1.9,10:00:36,4.95,0.01038,0.0119,0.3,HPPO,USD,
"PFS12253","05/15/2015",2,BUY,IG,67,5.5,12:33:16,4.95,0,0,0.2,PDQM,USD,
"PFS12253","05/27/2015",2,SELL,IG,67,5.6701,10:06:13,4.95,0.0107597934,0.007973,0.2,PDQM,USD,
"PFS12253","05/28/2015",2,BUY,ATNM,100,3.61,10:06:21,4.95,0,0,0.3,PDQM,USD,
"PFS12253","05/28/2015",2,SELL,ATNM,100,3.57,10:16:06,4.95,0.010714,0.0119,0.3,PDQM,USD,
"PFS12253","05/28/2015",2,BUY,TBIO,100,1.87,12:18:04,4.95,0,0,0.3,PDQM,USD,
"PFS12253","05/28/2015",2,BUY,AMRN,100,2.2599,14:17:47,4.95,0,0,0.3,PDQM,USD,
"PFS12253","05/29/2015",2,SELL,TBIO,100,3.4,09:53:48,4.95,0.01068,0.0119,0.3,PDQM,USD,
"PFS12253","05/29/2015",2,SELL,AMRN,100,2.22,09:56:05,4.95,0.010444,0.0119,0.3,PDQM,USD,
"PFS12253","07/10/2015",2,BUY,RGSE,80,1.55,15:19:04,4.95,0,0,0.24,SURE,USD,
"PFS12253","07/14/2015",2,SELL,RGSE,80,1.44,14:58:20,4.95,0.0102304,0.00952,0.24,SURE,USD,
"PFS12253","07/14/2015",2,BUY,OHRP,100,3.3699,15:01:03,4.95,0,0,0.3,SURE,USD,
"PFS12253","07/14/2015",2,SELL,OHRP,100,3.205,15:40:45,4.95,0.010641,0.0119,0.3,SURE,USD,
"PFS12253","07/17/2015",2,BUY,OHRP,92,3.88,09:33:05,4.95,0,0,0.28,SURE,USD,
"PFS12253","07/17/2015",2,BUY,OHRP,8,3.8799,09:33:07,25,0,0,0.02,SURE,USD,
"PFS12253","07/17/2015",2,SELL,OHRP,100,3.65,10:33:36,4.95,0.01073,0.0119,0.3,SURE,USD,
"PFS12253","07/17/2015",2,BUY,CRMD,50,4.2999,11:44:12,4.95,0,0,0.15,SURE,USD,
"PFS12253","07/17/2015",2,BUY,TTHI,60,2.3899,11:49:35,4.95,0,0,0.18,SURE,USD,
"PFS12253","07/20/2015",2,SELL,CRMD,50,3.58,09:33:03,4.95,0.010358,0.00595,0.15,SURE,USD,
"PFS12253","07/20/2015",2,SELL,TTHI,60,2.2601,11:07:49,4.95,0.010271212,0.00714,0.18,SURE,USD,
"PFS12253","07/20/2015",3,SELL,AA,50,10.35,11:10:08,4.95,0.021035,0.00595,0.15,SURE,USD,
"PFS12253","07/23/2015",3,BUY,AA,50,10.08,09:32:31,4.95,0,0,0.15,SURE,USD,
"PFS12253","07/23/2015",2,BUY,SB,77,3.84,09:36:47,4.95,0,0,0.23,SURE,USD,
"PFS12253","07/24/2015",2,SELL,SB,77,3.58,09:34:29,4.95,0.01055132,0.009163,0.23,SURE,USD,
"PFS12253","07/24/2015",2,BUY,TXMD,30,8.5999,09:36:05,4.95,0,0,0.09,SURE,USD,
"PFS12253","07/24/2015",2,BUY,HEAR,55,2.22,09:40:45,4.95,0,0,0.17,SURE,USD,
"PFS12253","07/28/2015",2,BUY,STRL,30,4.52,13:18:28,4.95,0,0,0.09,SURE,USD,
"PFS12253","07/29/2015",2,SELL,TXMD,30,7.9301,11:26:56,4.95,0.010475806,0.00357,0.09,SURE,USD,
"PFS12253","08/05/2015",2,SELL,HEAR,55,2.09,10:08:19,4.95,0.0102299,0.006545,0.17,SURE,USD,
"PFS12253","08/06/2015",2,SELL,STRL,30,4.8601,10:24:26,4.95,0.010291606,0.00357,0.09,SURE,USD,
"PFS12253","08/10/2015",2,BUY,URA,47,8.3499,12:19:38,4.95,0,0,0.14,SURE,USD,
"PFS12253","08/11/2015",2,BUY,NUGT,20,3.5199,10:31:34,4.95,0,0,0.06,SURE,USD,
"PFS12253","08/12/2015",2,SELL,NUGT,20,4.5601,10:28:06,4.95,0.010182404,0.00238,0.06,SURE,USD,
"PFS12253","08/17/2015",2,BUY,NM,141,3.37,14:35:46,4.95,0,0,0.42,SURE,USD,
"PFS12253","08/18/2015",2,SELL,NM,141,3.31,12:53:02,4.95,0.02093342,0.016779,0.42,SURE,USD,
"PFS12253","08/19/2015",2,SELL,URA,47,8.1305,09:48:18,4.95,0.010764267,0.005593,0.14,SURE,USD,
"PFS12253","08/26/2015",2,BUY,BTU,48,1.68,11:19:22,4.95,0,0,0.14,SURE,USD,
"PFS12253","09/01/2015",2,SELL,BTU,48,2.61,10:06:06,4.95,0.01025056,0.005712,0.14,SURE,USD,
"PFS12253","09/08/2015",2,BUY,UWTI,71,1.1898,15:48:48,4.95,0,0,0.21,SURE,USD,
"PFS12253","09/10/2015",2,SELL,UWTI,64,0,7:00,0,0,0,0,DESK,USD,1:10 STOCK SPLIT FOR UWTI
"PFS12253","09/11/2015",2,SELL,UWTI,7,10.5201,10:29:40,4.95,0.0101472814,0.000833,0.02,SURE,USD,
"PFS12253","09/14/2015",2,BUY,UGAZ,28,8.97,15:09:01,4.95,0,0,0.08,SURE,USD,
"PFS12253","09/16/2015",2,SELL,UGAZ,28,8.3402,09:30:00,4.95,0.0104670512,0.003332,0.08,SURE,USD,
"PFS12253","09/16/2015",2,BUY,NUGT,56,3.0298,14:32:00,4.95,0,0,0.17,SURE,USD,
"PFS12253","09/18/2015",2,SELL,NUGT,56,3.63,09:00:18,4.95,0.01040656,0.006664,0.22,SURE,USD,
"PFS12253","09/21/2015",2,BUY,SGY,25,6.3298,15:13:24,4.95,0,0,0.07,SURE,USD,
"PFS12253","09/22/2015",2,SELL,SGY,25,5.95,13:10:02,4.95,0.0102975,0.002975,0.07,SURE,USD,
"PFS12253","09/28/2015",2,BUY,BCEI,29,4.46,15:43:13,4.95,0,0,0.09,SURE,USD,
"PFS12253","09/29/2015",2,SELL,BCEI,29,4.1701,15:03:46,4.95,0.0102418658,0.003451,0.09,SURE,USD,
"PFS12253","10/02/2015",2,BUY,OIL,26,8.27,11:53:41,4.95,0,0,0.08,SURE,USD,
"PFS12253","10/06/2015",2,BUY,HGT,35,3.26,12:40:41,4.95,0,0,0.11,SURE,USD,
"PFS12253","10/19/2015",2,SELL,HGT,35,3.012,10:04:19,4.95,0.01021084,0.004165,0.11,SURE,USD,
"PFS12253","10/27/2015",2,SELL,OIL,26,8.15,14:57:00,4.95,0.0104238,0.003094,0.08,SURE,USD,
"PFS12253","10/28/2015",2,BUY,DUST,67,11.59,10:29:22,4.95,0,0,0.2,SURE,USD,
"PFS12253","10/29/2015",2,SELL,DUST,67,14,09:55:18,4.95,0.031876,0.007973,0.2,SURE,USD,
"PFS12253","02/01/2016",2,BUY,DUST,62,12.71,13:44:48,4.95,0,0,0.19,SURE,USD,
"PFS12253","02/04/2016",2,SELL,DUST,32,8.51,10:06:04,4.95,0.01054464,0.003808,0.1,SURE,USD,
"PFS12253","02/08/2016",2,SELL,DUST,30,6.25,10:10:49,4.95,0.010375,0.00357,0.09,SURE,USD,
"PFS12253","02/08/2016",2,BUY,UWTI,48,1.6799,10:15:51,4.95,0,0,0.14,SURE,USD,
"PFS12253","02/11/2016",2,SELL,UWTI,48,1.2401,09:30:00,4.95,0.0101190496,0.005712,0.14,SURE,USD,
"PFS12253","03/09/2016",2,BUY,UGAZ,106,0.829332,10:34:26,4.95,0,0,0.32,SURE,USD,
"PFS12253","03/14/2016",2,SELL,UGAZ,4,23.79,11:39:28,4.95,0.01019032,0.000476,0.01,SURE,USD,
"PFS12253","03/14/2016",2,BUY,DUST,25,3.94,11:46:58,4.95,0,0,0.07,SURE,USD,
"PFS12253","03/14/2016",2,SELL,UGAZ,102,0,7:00,0,0,0,0,DESK,USD,1:25 Reverse Stock Split
"PFS12253","03/16/2016",2,SELL,DUST,25,3.2,15:10:13,4.95,0.01016,0.002975,0.07,SURE,USD,
"PFS12253","04/04/2016",2,BUY,TVIX,48,4.28,09:38:24,4.95,0,0,0.14,SURE,USD,
"PFS12253","04/04/2016",2,BUY,DUST,33,3.2998,09:46:56,4.95,0,0,0.1,SURE,USD,
"PFS12253","04/08/2016",2,SELL,DUST,33,2.79,09:35:20,4.95,0.01018414,0.003927,0.1,SURE,USD,
"PFS12253","04/18/2016",2,SELL,TVIX,48,3.89,10:01:26,4.95,0.01037344,0.005712,0.14,SURE,USD,
"PFS12253","04/22/2016",2,BUY,DUST,64,2,12:16:40,4.95,0,0,0.19,SURE,USD,
"PFS12253","04/28/2016",2,SELL,DUST,64,1.7,11:14:35,4.95,0.0102176,0.007616,0.19,SURE,USD,
"PFS12253","04/29/2016",2,BUY,TVIX,45,3.74,09:48:08,4.95,0,0,0.14,SURE,USD,
"PFS12253","05/09/2016",2,SELL,TVIX,45,3.15,14:52:03,4.95,0.0102835,0.005355,0.14,SURE,USD,
"PFS12253","05/23/2016",2,BUY,OIL,28,6.27,14:01:14,4.95,0,0,0.08,SURE,USD,
"PFS12253","06/15/2016",2,SELL,OIL,28,6.19,15:44:31,4.95,0.01034664,0.003332,0.08,SURE,USD,
"PFS12253","06/17/2016",2,BUY,WEAT,25,9.03,14:03:25,4.95,0,0,0.07,SURE,USD,
"PFS12253","06/21/2016",2,SELL,WEAT,25,8.8401,09:30:01,4.95,0.010442005,0.002975,0.07,SURE,USD,
"PFS12253","07/05/2016",2,BUY,TVIX,100,2.1099,15:40:59,4.95,0,0,0.3,SURE,USD,
"PFS12253","07/06/2016",2,SELL,TVIX,100,2.01,12:04:01,4.95,0.010402,0.0119,0.3,SURE,USD,
"PFS12253","07/21/2016",2,BUY,TVIX,100,1.4399,15:41:04,4.95,0,0,0.3,SURE,USD,
"PFS12253","07/21/2016",2,SELL,TVIX,100,1.4301,15:41:46,4.95,0.01028602,0.0119,0.3,SURE,USD,
"PFS12253","07/21/2016",2,BUY,TVIX,100,1.4399,15:42:45,4.95,0,0,0.3,SURE,USD,
"PFS12253","07/22/2016",2,SELL,TVIX,100,1.34,12:07:00,4.95,0.010268,0.0119,0.3,SURE,USD,
"PFS12253","07/25/2016",2,BUY,BAC,40,14.35,15:25:16,4.95,0,0,0.12,SURE,USD,
"PFS12253","08/08/2016",2,SELL,BAC,40,15.11,09:53:49,4.95,0.0212088,0.00476,0.12,SURE,USD,
"PFS12253","09/06/2016",2,BUY,XIV,16,39.25,10:34:42,4.95,0,0,0.05,SURE,USD,
"PFS12253","09/07/2016",2,SELL,XIV,16,40.1,13:15:34,4.95,0.0212832,0.001904,0.05,SURE,USD,
"PFS12253","09/13/2016",2,BUY,VIX161116P00016000,1,1.1,13:57:05,5.95,0,0,0,,USD,
"PFS12253","09/22/2016",2,SELL,VIX161116P00016000,1,1.55,15:20:23,5.95,0.01031,0.000119,0,,USD,
"PFS12253","10/13/2016",2,BUY,VXX161118P00029000,1,0.49,10:19:31,5.95,0,0,0,,USD,
"PFS12253","10/19/2016",2,BUY,EBAY161118C00032000,2,1.55,11:45:03,6.95,0,0,0,,USD,
"PFS12253","10/19/2016",2,BUY,EBAY161118P00032000,2,1.33,11:47:14,6.95,0,0,0,,USD,
"PFS12253","10/20/2016",2,SELL,EBAY161118P00032000,2,2.82,10:23:35,6.95,0.021128,0.000238,0,,USD,
"PFS12253","10/21/2016",2,BUY,VXX161118P00029000,1,0.78,13:17:45,5.95,0,0,0,,USD,
"PFS12253","10/21/2016",2,SELL,VXX161118P00029000,1,0.75,13:27:34,5.95,0.01015,0.000119,0,,USD,
"PFS12253","10/24/2016",2,SELL,VXX161118P00029000,1,1.02,10:05:14,5.95,0.010204,0.000119,0,,USD,
"PFS12253","11/01/2016",2,BUY,VIX170118P00016000,1,1.1,10:09:17,5.95,0,0,0,,USD,
"PFS12253","11/04/2016",2,BUY,VIX170118P00016000,1,0.95,10:57:51,5.95,0,0,0,,USD,
"PFS12253","11/17/2016",2,SELL,VIX170118P00016000,2,1.48,14:34:47,6.95,0.010592,0.000238,0,,USD,
"PFS12253","11/18/2016",1,SELL,EBAY161118C00032000,2,0,00:00:00,0,0,0,0,,USD,Option expire
"PFS12253","12/13/2016",2,BUY,EFA170120P00057000,1,0.37,11:21:57,5.95,0,0,0,,USD,
"PFS12253","12/14/2016",2,BUY,OIL170120P00006000,2,0.2,10:30:01,6.95,0,0,0,,USD,
"PFS12253","12/15/2016",2,BUY,DJX170120P00186000,1,0.45,10:05:32,5.95,0,0,0,,USD,
"PFS12253","12/30/2016",2,SELL,EFA170120P00057000,1,0.35,11:13:34,5.95,0.01007,0.000119,0,,USD,
"PFS12253","12/30/2016",2,SELL,DJX170120P00186000,1,0.24,11:19:18,5.95,0.010048,0.000119,0,,USD,
"PFS12253","01/03/2017",2,SELL,OIL170120P00006000,2,0.07,09:30:07,6.95,0.010028,0.000238,0,,USD,
"PFS12253","01/20/2017",2,BUY,XIV,9,57.11,15:50:39,4.95,0,0,0.03,SURE,USD,
"PFS12253","01/25/2017",2,SELL,XIV,9,61.67,12:11:22,4.95,0.02111006,0.001071,0.03,SURE,USD,
"PFS12253","02/08/2017",2,BUY,USO170421P00011000,2,0.48,14:49:11,5.95,0,0,0,,USD,
"PFS12253","02/14/2017",2,BUY,BAC170421P00022000,1,0.47,09:43:47,5.45,0,0,0,,USD,
"PFS12253","02/14/2017",2,BUY,BAC170421C00024000,1,0.72,09:46:28,5.45,0,0,0,,USD,
"PFS12253","02/21/2017",2,SELL,USO170421P00011000,2,0.25,09:39:54,5.95,0.0101,0.000238,0,,USD,
"PFS12253","02/21/2017",2,SELL,BAC170421P00022000,1,0.22,09:55:35,5.45,0.010044,0.000119,0,,USD,
"PFS12253","02/21/2017",2,BUY,VXX170421P00015000,1,0.48,11:03:08,5.45,0,0,0,,USD,
"PFS12253","02/21/2017",2,SELL,BAC170421C00024000,1,1.36,11:29:45,5.45,0.010272,0.000119,0,,USD,
"PFS12253","02/21/2017",2,BUY,USO170421C00011000,1,0.81,14:33:32,5.45,0,0,0,,USD,
"PFS12253","02/23/2017",2,SELL,VXX170421P00015000,1,0.31,11:29:51,5.45,0.010062,0.000119,0,,USD,
"PFS12253","03/08/2017",2,SELL,USO170421C00011000,1,0.45,10:16:44,5.45,0.01009,0.000119,0,,USD,

